,RD0175,RD0176,RD0177,RD0178,RD0179,RD0180,RD0184,RD0185,RD0186
ENSMUST00000108052,0,0,0,0,0,0,0,0,0
ENSMUST00000086377,0,0,0,0,0,0,0,0,0
ENSMUST00000048382,0,0,0,0,0,0,0,0,0
ENSMUST00000029722,103,89,78,41,39,38,84,54,41
ENSMUST00000051091,0,0,0,0,0,0,0,0,0
ENSMUST00000215915,0,0,0,0,0,0,0,0,0
ENSMUST00000068944,5,2,6,5,8,2,0,3,1
ENSMUST00000058163,0,0,0,0,0,0,6,1,1
ENSMUST00000015197,0,0,0,0,0,0,0,0,0
ENSMUST00000005976,0,0,0,0,0,0,0,0,0
ENSMUST00000117513,0,0,0,0,0,0,0,0,0
ENSMUST00000015812,0,0,1,1,0,0,0,0,1
ENSMUST00000015800,0,0,3,0,0,0,0,0,0
ENSMUST00000028205,5,8,6,2,8,6,9,33,2
ENSMUST00000234052,0,0,0,0,0,0,0,0,0
ENSMUST00000076383,0,0,0,0,0,0,0,0,0
ENSMUST00000200527,0,0,0,0,0,0,0,0,0
ENSMUST00000006587,1,0,0,0,0,0,0,0,0
ENSMUST00000066558,0,0,0,0,0,0,0,0,0
ENSMUST00000031072,0,0,1,0,0,0,1,2,0
ENSMUST00000135091,46,44,44,9,17,25,14,21,21
ENSMUST00000034046,0,0,0,0,0,0,0,0,0
ENSMUST00000039247,0,0,0,0,0,0,0,0,0
ENSMUST00000214382,0,0,0,0,0,0,0,0,0
ENSMUST00000110793,0,0,0,0,0,0,0,0,0
ENSMUST00000225661,21,18,42,9,12,29,4,25,5
ENSMUST00000144531,1,1,5,0,0,2,1,0,2
ENSMUST00000098508,0,0,0,0,0,0,0,0,0
ENSMUST00000047119,0,0,0,0,0,0,0,0,0
ENSMUST00000196583,0,0,0,0,0,0,0,0,0
ENSMUST00000044792,0,0,0,0,0,0,0,0,0
ENSMUST00000055276,0,0,0,0,0,0,0,0,0
ENSMUST00000040790,5,0,8,0,0,11,0,1,0
ENSMUST00000076906,0,0,0,0,0,0,0,0,0
ENSMUST00000114471,0,0,0,0,0,0,0,0,0
ENSMUST00000102765,0,0,0,0,0,0,0,2,0
ENSMUST00000070084,0,0,0,0,0,0,0,0,0
ENSMUST00000035163,0,0,0,0,0,0,0,0,0
ENSMUST00000007248,0,0,0,0,0,1,0,0,0
ENSMUST00000021592,4,3,4,0,1,0,1,0,0
ENSMUST00000020449,0,5,0,0,0,1,4,0,0
ENSMUST00000114321,0,0,20,0,0,0,9,0,0
ENSMUST00000020794,2,1,1,0,0,0,1,3,5
ENSMUST00000144724,0,0,0,0,0,0,0,0,0
ENSMUST00000214769,0,0,0,0,0,0,0,0,0
ENSMUST00000210616,0,0,0,0,0,0,0,0,0
ENSMUST00000024756,1,6,2,20,28,0,0,23,0
ENSMUST00000105393,0,0,0,0,0,0,0,0,0
ENSMUST00000120367,0,0,0,0,0,0,0,0,0
ENSMUST00000202994,0,0,0,0,0,0,0,0,0
ENSMUST00000226921,0,0,0,0,0,0,0,0,0
ENSMUST00000064780,0,0,0,1,0,0,0,0,0
ENSMUST00000030623,229,169,185,109,166,180,223,187,143
ENSMUST00000059223,0,0,0,0,0,0,0,0,0
ENSMUST00000051714,0,0,0,0,0,0,0,0,0
ENSMUST00000214728,0,0,0,0,0,0,0,0,0
ENSMUST00000024840,0,0,0,0,0,0,0,0,0
ENSMUST00000031246,0,0,0,0,0,0,0,0,0
ENSMUST00000102921,0,0,0,0,1,1,0,0,0
ENSMUST00000191829,0,0,0,0,0,0,0,0,0
ENSMUST00000231096,0,0,0,0,0,0,0,0,0
ENSMUST00000051521,0,0,0,0,0,4,0,0,0
ENSMUST00000219511,0,0,0,0,0,0,0,0,0
ENSMUST00000116317,0,0,0,0,0,0,0,0,0
ENSMUST00000114988,0,0,0,0,0,0,0,0,0
ENSMUST00000054289,28,40,34,6,14,9,16,38,16
ENSMUST00000054356,30,32,40,9,15,27,36,40,25
ENSMUST00000021632,51,64,62,17,22,14,46,16,20
ENSMUST00000093113,0,0,0,0,0,0,0,0,0
ENSMUST00000017309,0,0,0,0,0,0,0,0,0
ENSMUST00000079681,4,2,2,0,0,0,0,1,0
ENSMUST00000159993,0,0,0,0,0,0,0,0,0
ENSMUST00000239480,0,0,0,0,0,0,0,0,0
ENSMUST00000048514,0,0,0,0,0,0,0,0,0
ENSMUST00000142742,0,0,0,0,0,0,0,0,0
ENSMUST00000045817,0,0,0,0,0,0,0,0,0
ENSMUST00000001757,11,26,16,5,4,3,34,32,19
ENSMUST00000012664,0,0,0,0,0,0,0,0,0
ENSMUST00000080403,0,0,0,0,0,0,0,0,0
ENSMUST00000031779,0,0,0,0,0,0,0,0,0
ENSMUST00000027358,0,0,0,0,0,0,0,3,0
ENSMUST00000233892,0,0,0,0,0,0,0,0,0
ENSMUST00000048128,1,1,0,0,0,0,0,2,0
ENSMUST00000025093,0,5,8,1,5,7,5,11,9
ENSMUST00000054072,0,0,0,0,0,0,0,0,0
ENSMUST00000112115,26,11,0,0,0,14,22,1,0
ENSMUST00000051169,0,0,0,0,2,0,1,0,0
ENSMUST00000181810,0,1,0,1,2,0,2,0,0
ENSMUST00000155579,4,6,1,8,4,4,9,18,11
ENSMUST00000045779,42,29,36,43,66,54,53,67,46
ENSMUST00000033689,0,0,0,0,0,0,0,0,0
ENSMUST00000107981,0,0,0,0,0,0,0,0,0
ENSMUST00000105209,0,0,0,0,0,0,0,0,0
ENSMUST00000106703,0,0,0,0,0,0,0,0,0
ENSMUST00000026569,0,0,0,0,0,0,0,0,0
ENSMUST00000048988,8,0,11,0,0,0,0,0,0
ENSMUST00000031032,1,0,0,0,0,56,33,0,0
ENSMUST00000168410,0,0,0,0,0,0,0,0,0
ENSMUST00000154742,0,0,0,0,0,0,0,0,0
ENSMUST00000043458,0,0,0,0,0,0,0,0,0
ENSMUST00000164227,0,0,0,0,0,0,0,0,0
ENSMUST00000108582,1,0,2,0,0,0,0,0,1
ENSMUST00000062613,0,0,0,0,0,0,0,0,0
ENSMUST00000168769,0,0,0,0,0,0,0,0,0
ENSMUST00000038379,0,0,0,0,0,0,0,0,0
ENSMUST00000114671,0,0,0,2,4,0,0,0,0
ENSMUST00000028648,0,0,0,0,0,0,0,0,0
ENSMUST00000059707,0,0,0,0,0,0,0,0,0
ENSMUST00000005714,17,24,20,6,9,13,8,11,4
ENSMUST00000065286,0,0,0,0,0,0,0,0,0
ENSMUST00000004829,0,0,0,0,0,0,0,0,0
ENSMUST00000112932,0,1,1,0,0,0,0,0,2
ENSMUST00000183125,0,0,0,0,0,0,0,0,0
ENSMUST00000047383,0,0,0,0,0,0,0,0,0
ENSMUST00000029968,0,22,0,0,0,0,13,0,0
ENSMUST00000038692,0,0,0,0,0,0,0,0,0
ENSMUST00000032413,4,4,4,0,2,3,0,0,2
ENSMUST00000179443,0,0,0,0,0,0,0,0,0
ENSMUST00000024993,0,0,0,0,0,0,0,0,0
ENSMUST00000109645,0,0,0,0,0,0,0,0,0
ENSMUST00000238765,0,0,0,0,0,0,0,0,0
ENSMUST00000034041,0,4,0,0,0,0,0,0,0
ENSMUST00000164139,0,0,0,0,0,0,0,0,0
ENSMUST00000228493,0,0,0,0,0,0,0,0,0
ENSMUST00000021527,0,0,0,0,0,0,0,0,0
ENSMUST00000002625,0,2,0,0,2,1,0,0,0
ENSMUST00000070742,0,0,0,0,0,0,0,0,0
ENSMUST00000143842,0,1,0,1,0,0,2,24,1
ENSMUST00000114723,0,0,0,0,0,0,0,0,0
ENSMUST00000042246,0,0,0,0,0,0,0,0,0
ENSMUST00000044616,0,0,0,0,0,0,0,0,0
ENSMUST00000018710,0,0,0,0,0,0,0,0,0
ENSMUST00000114354,0,0,0,0,0,0,0,0,0
ENSMUST00000111566,2,0,1,0,0,0,0,0,0
ENSMUST00000233415,0,0,0,0,0,0,0,0,0
ENSMUST00000109648,0,0,0,0,0,0,0,0,0
ENSMUST00000032073,0,0,0,0,0,0,0,0,0
ENSMUST00000008579,0,0,0,3,0,1,0,0,0
ENSMUST00000025183,16,12,15,9,12,6,3,8,9
ENSMUST00000037025,9,0,2,2,0,1,4,7,1
ENSMUST00000003100,0,0,0,0,0,0,0,0,0
ENSMUST00000030980,7,12,7,5,11,9,0,1,0
ENSMUST00000208418,0,0,0,0,0,0,0,0,0
ENSMUST00000107094,562,640,709,406,613,584,651,789,508
ENSMUST00000094215,1,3,2,1,3,0,2,2,1
ENSMUST00000040241,0,1,0,0,0,0,0,0,0
ENSMUST00000043415,0,0,0,0,0,0,0,0,0
ENSMUST00000191203,0,0,0,0,0,0,0,0,0
ENSMUST00000115193,0,0,0,0,0,0,0,0,0
ENSMUST00000019913,0,1,1,0,0,0,0,1,0
ENSMUST00000151799,0,0,0,0,0,0,0,0,0
ENSMUST00000065353,3,0,0,0,0,0,0,0,0
ENSMUST00000067246,0,3,1,5,5,0,0,0,0
ENSMUST00000001812,9,13,12,0,4,5,14,11,0
ENSMUST00000021296,4,3,13,6,6,4,3,9,2
ENSMUST00000193809,69,64,84,20,31,38,43,70,40
ENSMUST00000099442,0,0,0,0,0,0,0,0,0
